,Nom,Description,Catégorie,Association avec un groupe?,Podcast,Facebook,X,YouTube,Instagram,Substack,Tiktok,Twitch/kick,Commentaires,A,B,C,Photo avec Trump?
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
,,,,,FALSE,,,,,,,,,,,,
